,ssid,rssi,gps_latitude,gps_longitude,gps_orthometric_heigth,gps_utc,computer_timestamp,computer_time_local,rssi_abs,timestamp_from_start
0,MOVISTAR_PLUS_19BB,-61,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",39,0.0
1,MOVISTAR_19BB,-61,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",39,0.0
2,BUZZ+,-62,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",38,0.0
3,MOVISTAR_19BB,-63,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",37,0.0
4,BUZZ,-64,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",36,0.0
5,Alboronia,-75,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",25,0.0
6,vodafoneBA5222,-82,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",18,0.0
7,MOVISTAR_8D5B,-86,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",14,0.0
8,MOVISTAR_0120,-86,40.604299833333336,-4.064695166666667,889.4,095058.00,1725875458.596608,"09/09/2024, 11:50:58.596608",14,0.0
